Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	TCP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	TCP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	TCP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	UDP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	UDP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	UDP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	TCP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	TCP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	UDP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	UDP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	TCP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	TCP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	UDP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	UDP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	TCP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	TCP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	UDP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	UDP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	TCP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	TCP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	TCP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	TCP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	UDP	7000	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	TCP	7000	Any	Any	Any	Any	None	Any	
